query_id,ndcg_at_10,mrr,recall_at_10,recall_at_50,precision_at_10
0,0.5534250996314134,1.0,0.0033156498673740055,0.016246684350132625,1.0
1,0.4621902643993393,1.0,0.005641748942172073,0.03244005641748942,0.8
2,0.955830517697074,1.0,0.06329113924050633,0.310126582278481,1.0
3,0.800693766409882,1.0,0.009067357512953367,0.042746113989637305,0.7
4,0.3333333333333333,1.0,0.05263157894736842,0.17894736842105263,1.0
5,0.9074250374176303,1.0,0.007639419404125287,0.03819709702062643,1.0
6,0.30215914326857995,0.16666666666666666,0.050505050505050504,0.24242424242424243,0.5
7,0.5267289711034168,1.0,0.009345794392523364,0.07102803738317758,0.5
8,1.0,1.0,0.10638297872340426,0.46808510638297873,1.0
9,1.0,1.0,0.006622516556291391,0.033112582781456956,1.0
10,0.9537125187088151,1.0,0.056818181818181816,0.2840909090909091,1.0
11,1.0,1.0,0.007042253521126761,0.035211267605633804,1.0
12,0.8420631275202292,1.0,0.05649717514124294,0.22598870056497175,1.0
13,0.9216017310213247,1.0,0.15789473684210525,0.2631578947368421,0.9
14,0.44173955623824723,0.3333333333333333,0.003182686187141948,0.004455760661998727,0.5
15,0.6797096927697376,1.0,0.015050167224080268,0.08193979933110368,0.9
16,0.470018260101859,1.0,0.03759398496240601,0.15789473684210525,1.0
17,0.30570848921059696,1.0,0.06796116504854369,0.3300970873786408,0.7
18,1.0,1.0,0.0364963503649635,0.18248175182481752,1.0
19,0.715550648768261,1.0,0.6,0.7,0.6
20,0.31212640393368274,1.0,0.1,0.14444444444444443,0.9
21,0.3256530037357305,1.0,0.023622047244094488,0.03937007874015748,0.3
22,0.3062016832946958,1.0,0.02040816326530612,0.15306122448979592,0.4
23,1.0,1.0,0.008143322475570033,0.04071661237785016,1.0
24,0.4971542190268041,1.0,0.004761904761904762,0.023809523809523808,1.0
25,1.0,1.0,0.04329004329004329,0.21645021645021645,1.0
26,0.8990684392693267,1.0,0.0030422878004259203,0.015211439002129602,1.0
27,0.6470374113085078,0.5,0.02631578947368421,0.13742690058479531,0.9
28,1.0,1.0,0.03333333333333333,0.16666666666666666,1.0
29,0.0,0.0,0.0,0.0,0.0
30,0.9074250374176303,1.0,0.029411764705882353,0.14705882352941177,1.0
31,0.3800893080013056,0.5,0.017857142857142856,0.02976190476190476,0.3
32,0.3406992958233561,1.0,0.005494505494505495,0.005494505494505495,0.1
33,0.0,0.0,0.0,0.0,0.0
34,0.47038069616886524,0.5,0.012244897959183673,0.06666666666666667,0.9
35,0.4066972554326933,1.0,0.05813953488372093,0.28488372093023256,1.0
36,0.6424293576721357,1.0,0.0641025641025641,0.32051282051282054,1.0
37,0.7606971932189102,1.0,0.012150668286755772,0.05953827460510328,1.0
38,0.9035800363421508,1.0,0.04245283018867924,0.23113207547169812,0.9
39,0.48006117753205335,1.0,0.06711409395973154,0.33557046979865773,1.0
40,0.5791053692988265,1.0,0.06097560975609756,0.3048780487804878,1.0
41,0.8351927826019759,1.0,0.1125,0.475,0.9
42,0.22127954991426863,0.5,0.05333333333333334,0.12,0.4
43,0.9537125187088151,1.0,0.009514747859181731,0.047573739295908656,1.0
44,0.6275234528752618,1.0,0.04608294930875576,0.22580645161290322,1.0
45,0.23876248183432272,0.5,0.07476635514018691,0.16822429906542055,0.8
46,0.1436715886895903,1.0,0.0196078431372549,0.06862745098039216,0.2
